                                                                                                                       
{'loss': 81.0341, 'grad_norm': 4.111666679382324, 'learning_rate': 0.000597, 'epoch': 10.54}
{'loss': 80.9658, 'grad_norm': 3.9076359272003174, 'learning_rate': 0.0006, 'epoch': 10.59}
{'loss': 81.2344, 'grad_norm': 3.8117587566375732, 'learning_rate': 0.0005999976868144412, 'epoch': 10.65}
{'loss': 81.7734, 'grad_norm': 3.778141498565674, 'learning_rate': 0.0005999907472934369, 'epoch': 10.7}
{'loss': 81.3031, 'grad_norm': 4.307908058166504, 'learning_rate': 0.0005999791815440031, 'epoch': 10.76}
{'loss': 81.9292, 'grad_norm': 3.93227219581604, 'learning_rate': 0.0005999629897444982, 'epoch': 10.81}
{'loss': 81.4329, 'grad_norm': 3.580709457397461, 'learning_rate': 0.0005999421721446194, 'epoch': 10.86}
{'loss': 81.4742, 'grad_norm': 4.240889549255371, 'learning_rate': 0.0005999167290654001, 'epoch': 10.92}
{'loss': 81.189, 'grad_norm': 4.52618408203125, 'learning_rate': 0.0005998866608992041, 'epoch': 10.97}
{'loss': 40.5043, 'grad_norm': 2.6073355674743652, 'learning_rate': 0.0005998519681097194, 'epoch': 11.0}
{'loss': 78.6984, 'grad_norm': 4.8980937004089355, 'learning_rate': 0.000599812651231952, 'epoch': 11.05}
{'loss': 79.276, 'grad_norm': 4.4222259521484375, 'learning_rate': 0.0005997687108722169, 'epoch': 11.11}
{'loss': 79.3367, 'grad_norm': 4.204504489898682, 'learning_rate': 0.0005997201477081285, 'epoch': 11.16}
{'loss': 79.3781, 'grad_norm': 4.725235462188721, 'learning_rate': 0.000599666962488591, 'epoch': 11.22}
{'loss': 78.8935, 'grad_norm': 3.7053568363189697, 'learning_rate': 0.0005996091560337862, 'epoch': 11.27}
{'loss': 79.2166, 'grad_norm': 4.60576868057251, 'learning_rate': 0.0005995467292351614, 'epoch': 11.32}
{'loss': 78.7119, 'grad_norm': 3.906228542327881, 'learning_rate': 0.0005994796830554147, 'epoch': 11.38}
{'loss': 78.9888, 'grad_norm': 4.106709003448486, 'learning_rate': 0.0005994080185284814, 'epoch': 11.43}
{'loss': 79.5404, 'grad_norm': 3.931316614151001, 'learning_rate': 0.000599331736759517, 'epoch': 11.49}
{'loss': 79.903, 'grad_norm': 3.6234941482543945, 'learning_rate': 0.000599250838924881, 'epoch': 11.54}
{'loss': 79.407, 'grad_norm': 3.9986417293548584, 'learning_rate': 0.0005991653262721177, 'epoch': 11.59}
{'loss': 78.8551, 'grad_norm': 4.1586408615112305, 'learning_rate': 0.0005990752001199383, 'epoch': 11.65}
{'loss': 79.304, 'grad_norm': 3.4685826301574707, 'learning_rate': 0.0005989804618581995, 'epoch': 11.7}
{'loss': 80.0102, 'grad_norm': 3.9912052154541016, 'learning_rate': 0.0005988811129478823, 'epoch': 11.76}
{'loss': 79.7791, 'grad_norm': 3.6164698600769043, 'learning_rate': 0.00059877715492107, 'epoch': 11.81}
{'loss': 80.0073, 'grad_norm': 3.6039822101593018, 'learning_rate': 0.000598668589380924, 'epoch': 11.86}
{'loss': 80.3863, 'grad_norm': 4.084349155426025, 'learning_rate': 0.0005985554180016591, 'epoch': 11.92}
